Sector,Revenue,RevenueRank,conter
Online Service/Internet-based Services,1B-2B,9,0
Manufacturing/Fabrication,> 10B,12,1
Medical/Pharmaceutical,> 10B,12,2
Manufacturing/Fabrication,> 10B,12,3
Computers/Technology,10M-25M,4,4
Production,1M-2M,1,5
Manufacturing/Fabrication,500M-1B,8,6
Medical/Pharmaceutical,10M-25M,4,7
Telco,> 10B,12,8
Shipping/Transportation,> 10B,12,9
Broadcasting/Communications,5B-10B,11,10
Non-profit/Service,100M-500M,7,11
Medical/Pharmaceutical,> 10B,12,12
Online Service/Internet-based Services,100M-500M,7,13
Computers/Technology,2B-5B,10,14
Medical/Pharmaceutical,2M-5M,2,15
Computers/Technology,5B-10B,11,16
Online Service/Internet-based Services,10M-25M,4,17
Medical/Pharmaceutical,500M-1B,8,18
Online Service/Internet-based Services,5M-10M,3,19
Manufacturing/Fabrication,> 10B,12,20
Online Service/Internet-based Services,100M-500M,7,21
Computers/Technology,100M-500M,7,22
Military/Security/Defense,2B-5B,10,23
Military/Security/Defense,2B-5B,10,24
Computers/Technology,50M-100M,6,25
Computers/Technology,100M-500M,7,26
Agriculture,10M-25M,4,27
Academics/Education,500M-1B,8,28
Online Service/Internet-based Services,100M-500M,7,29
Computers/Technology,100M-500M,7,30
Academics/Education,5B-10B,11,31
Manufacturing/Fabrication,100M-500M,7,32
Manufacturing/Fabrication,> 10B,12,33
Online Service/Internet-based Services,50M-100M,6,34
Broadcasting/Communications,1B-2B,9,35
Online Service/Internet-based Services,50M-100M,6,36
Telco,5B-10B,11,37
Computers/Technology,100M-500M,7,38
Government/Public Service,100M-500M,7,39
Telco,5B-10B,11,40
Computers/Technology,10M-25M,4,41
Online Service/Internet-based Services,25M-50M,5,42
Manufacturing/Fabrication,> 10B,12,43
Retail/Sales,1B-2B,9,44
Online Service/Internet-based Services,50M-100M,6,45
Retail/Sales,100M-500M,7,46
Computers/Technology,2B-5B,10,47
Computers/Technology,5M-10M,3,48
Medical/Pharmaceutical,> 10B,12,49
Computers/Technology,> 10B,12,50
Manufacturing/Fabrication,10M-25M,4,51
Computers/Technology,2M-5M,2,52
Telco,> 10B,12,53
Telco,> 10B,12,54
Accounting/Finance,2B-5B,10,55
Manufacturing/Fabrication,> 10B,12,56
Computers/Technology,50M-100M,6,57
Accounting/Finance,> 10B,12,58
Online Service/Internet-based Services,50M-100M,6,59
Manufacturing/Fabrication,2B-5B,10,60
Manufacturing/Fabrication,2B-5B,10,61
Computers/Technology,100M-500M,7,62
Telco,1B-2B,9,63
Online Service/Internet-based Services,5M-10M,3,64
Manufacturing/Fabrication,2M-5M,2,65
Medical/Pharmaceutical,500M-1B,8,66
Online Service/Internet-based Services,25M-50M,5,67
Manufacturing/Fabrication,> 10B,12,68
Retail/Sales,1B-2B,9,69
Accounting/Finance,> 10B,12,70
Production,10M-25M,4,71
Computers/Technology,2B-5B,10,72
Computers/Technology,> 10B,12,73
Manufacturing/Fabrication,> 10B,12,74
Computers/Technology,> 10B,12,75
Retail/Sales,2M-5M,2,76
Online Service/Internet-based Services,50M-100M,6,77
Manufacturing/Fabrication,> 10B,12,78
Computers/Technology,2M-5M,2,79
Online Service/Internet-based Services,> 10B,12,80
Computers/Technology,500M-1B,8,81
Computers/Technology,5M-10M,3,82
Online Service/Internet-based Services,500M-1B,8,83
Medical/Pharmaceutical,10M-25M,4,84
Accounting/Finance,5B-10B,11,85
Broadcasting/Communications,2B-5B,10,86
Online Service/Internet-based Services,100M-500M,7,87
Retail/Sales,25M-50M,5,88
Government/Public Service,25M-50M,5,89
Shipping/Transportation,2B-5B,10,90
Military/Security/Defense,> 10B,12,91
Computers/Technology,100M-500M,7,92
Telco,> 10B,12,93
Computers/Technology,5B-10B,11,94
Manufacturing/Fabrication,1B-2B,9,95
Accounting/Finance,2B-5B,10,96
Computers/Technology,> 10B,12,97
Accounting/Finance,> 10B,12,98
Government/Public Service,100M-500M,7,99
Computers/Technology,100M-500M,7,100
Computers/Technology,100M-500M,7,101
Computers/Technology,5M-10M,3,102
Computers/Technology,10M-25M,4,103
Computers/Technology,> 10B,12,104
Manufacturing/Fabrication,2B-5B,10,105
Academics/Education,100M-500M,7,106
Government/Public Service,100M-500M,7,107
Retail/Sales,> 10B,12,108
Broadcasting/Communications,5B-10B,11,109
Retail/Sales,100M-500M,7,110
Manufacturing/Fabrication,2B-5B,10,111
Medical/Pharmaceutical,> 10B,12,112
Accounting/Finance,> 10B,12,113
Manufacturing/Fabrication,> 10B,12,114
Online Service/Internet-based Services,5B-10B,11,115
Computers/Technology,2B-5B,10,116
Military/Security/Defense,100M-500M,7,117
Manufacturing/Fabrication,2B-5B,10,118
Accounting/Finance,25M-50M,5,119
Computers/Technology,1B-2B,9,120
Manufacturing/Fabrication,50M-100M,6,121
Computers/Technology,> 10B,12,122
Telco,> 10B,12,123
Online Service/Internet-based Services,5M-10M,3,124
Medical/Pharmaceutical,10M-25M,4,125
Accounting/Finance,> 10B,12,126
Medical/Pharmaceutical,2B-5B,10,127
Computers/Technology,100M-500M,7,128
Shipping/Transportation,100M-500M,7,129
Marketing/CRM,1B-2B,9,130
Medical/Pharmaceutical,> 10B,12,131
Shipping/Transportation,> 10B,12,132
Accounting/Finance,1B-2B,9,133
Insurance/Risk Assessment,> 10B,12,134
Online Service/Internet-based Services,25M-50M,5,135
Manufacturing/Fabrication,> 10B,12,136
Online Service/Internet-based Services,5M-10M,3,137
Computers/Technology,50M-100M,6,138
Online Service/Internet-based Services,25M-50M,5,139
Computers/Technology,> 10B,12,140
Manufacturing/Fabrication,5B-10B,11,141
Online Service/Internet-based Services,> 10B,12,142
Accounting/Finance,10M-25M,4,143
Accounting/Finance,5B-10B,11,144
Manufacturing/Fabrication,50M-100M,6,145
Computers/Technology,100M-500M,7,146
Computers/Technology,100M-500M,7,147
Computers/Technology,100M-500M,7,148
Computers/Technology,5M-10M,3,149
Retail/Sales,5M-10M,3,150
Computers/Technology,> 10B,12,151
Computers/Technology,100M-500M,7,152
Online Service/Internet-based Services,> 10B,12,153
Retail/Sales,1B-2B,9,154
Online Service/Internet-based Services,100M-500M,7,155
Online Service/Internet-based Services,2B-5B,10,156
Medical/Pharmaceutical,2B-5B,10,157
Online Service/Internet-based Services,100M-500M,7,158
Online Service/Internet-based Services,2B-5B,10,159
Medical/Pharmaceutical,2M-5M,2,160
Online Service/Internet-based Services,25M-50M,5,161
Accounting/Finance,> 10B,12,162
Academics/Education,100M-500M,7,163
Retail/Sales,2M-5M,2,164
Computers/Technology,100M-500M,7,165
Computers/Technology,50M-100M,6,166
Insurance/Risk Assessment,100M-500M,7,167
Manufacturing/Fabrication,2B-5B,10,168
Insurance/Risk Assessment,10M-25M,4,169
Retail/Sales,5M-10M,3,170
Academics/Education,1B-2B,9,171
Online Service/Internet-based Services,5B-10B,11,172
Retail/Sales,500M-1B,8,173
Accounting/Finance,> 10B,12,174
Medical/Pharmaceutical,500M-1B,8,175
Computers/Technology,100M-500M,7,176
Manufacturing/Fabrication,100M-500M,7,177
Online Service/Internet-based Services,2M-5M,2,178
Manufacturing/Fabrication,1B-2B,9,179
Computers/Technology,100M-500M,7,180
Marketing/CRM,50M-100M,6,181
Accounting/Finance,100M-500M,7,182
Computers/Technology,1B-2B,9,183
Manufacturing/Fabrication,5M-10M,3,184
Online Service/Internet-based Services,100M-500M,7,185
Manufacturing/Fabrication,2B-5B,10,186
Medical/Pharmaceutical,2B-5B,10,187
Manufacturing/Fabrication,5B-10B,11,188
Online Service/Internet-based Services,25M-50M,5,189
Medical/Pharmaceutical,10M-25M,4,190
Retail/Sales,500M-1B,8,191
Computers/Technology,> 10B,12,192
Online Service/Internet-based Services,50M-100M,6,193
Manufacturing/Fabrication,50M-100M,6,194
Online Service/Internet-based Services,100M-500M,7,195
Computers/Technology,> 10B,12,196
Military/Security/Defense,5B-10B,11,197
Computers/Technology,10M-25M,4,198
Online Service/Internet-based Services,100M-500M,7,199
Manufacturing/Fabrication,5B-10B,11,200
Computers/Technology,> 10B,12,201
Computers/Technology,> 10B,12,202
Computers/Technology,> 10B,12,203
Online Service/Internet-based Services,100M-500M,7,204
Manufacturing/Fabrication,> 10B,12,205
Accounting/Finance,> 10B,12,206
Medical/Pharmaceutical,5M-10M,3,207
Accounting/Finance,5B-10B,11,208
Medical/Pharmaceutical,500M-1B,8,209
Medical/Pharmaceutical,> 10B,12,210
Manufacturing/Fabrication,5B-10B,11,211
Manufacturing/Fabrication,5B-10B,11,212
Real Estate,1B-2B,9,213
Shipping/Transportation,10M-25M,4,214
Medical/Pharmaceutical,> 10B,12,215
Medical/Pharmaceutical,> 10B,12,216
Online Service/Internet-based Services,25M-50M,5,217
Agriculture,10M-25M,4,218
Online Service/Internet-based Services,50M-100M,6,219
Manufacturing/Fabrication,2M-5M,2,220
Computers/Technology,100M-500M,7,221
Insurance/Risk Assessment,> 10B,12,222
Computers/Technology,500M-1B,8,223
Computers/Technology,100M-500M,7,224
Manufacturing/Fabrication,5B-10B,11,225
Computers/Technology,5B-10B,11,226
Government/Public Service,100M-500M,7,227
Online Service/Internet-based Services,500M-1B,8,228
Computers/Technology,100M-500M,7,229
Medical/Pharmaceutical,2B-5B,10,230
Computers/Technology,100M-500M,7,231
Manufacturing/Fabrication,2B-5B,10,232
Computers/Technology,100M-500M,7,233
Telco,> 10B,12,234
Computers/Technology,50M-100M,6,235
Computers/Technology,> 10B,12,236
Online Service/Internet-based Services,10M-25M,4,237
Manufacturing/Fabrication,100M-500M,7,238
Online Service/Internet-based Services,25M-50M,5,239
Manufacturing/Fabrication,1B-2B,9,240
Computers/Technology,> 10B,12,241
Online Service/Internet-based Services,50M-100M,6,242
Military/Security/Defense,100M-500M,7,243
Broadcasting/Communications,5B-10B,11,244
Manufacturing/Fabrication,> 10B,12,245
Computers/Technology,> 10B,12,246
Military/Security/Defense,2B-5B,10,247
Computers/Technology,2M-5M,2,248
Accounting/Finance,50M-100M,6,249
Computers/Technology,> 10B,12,250
Computers/Technology,> 10B,12,251
Accounting/Finance,5B-10B,11,252
Medical/Pharmaceutical,100M-500M,7,253
Computers/Technology,100M-500M,7,254
Manufacturing/Fabrication,> 10B,12,255
Online Service/Internet-based Services,100M-500M,7,256
Accounting/Finance,2B-5B,10,257
Telco,> 10B,12,258
Computers/Technology,5B-10B,11,259
Computers/Technology,> 10B,12,260
Manufacturing/Fabrication,> 10B,12,261
Online Service/Internet-based Services,100M-500M,7,262
Manufacturing/Fabrication,> 10B,12,263
Manufacturing/Fabrication,5B-10B,11,264
Medical/Pharmaceutical,5B-10B,11,265
Computers/Technology,500M-1B,8,266
Accounting/Finance,500M-1B,8,267
Production,500M-1B,8,268
Shipping/Transportation,1B-2B,9,269
Computers/Technology,25M-50M,5,270
Computers/Technology,2M-5M,2,271
Computers/Technology,2B-5B,10,272
Online Service/Internet-based Services,> 10B,12,273
Online Service/Internet-based Services,500M-1B,8,274
Computers/Technology,2M-5M,2,275
Academics/Education,100M-500M,7,276
Medical/Pharmaceutical,> 10B,12,277
Online Service/Internet-based Services,5B-10B,11,278
Insurance/Risk Assessment,2M-5M,2,279
Online Service/Internet-based Services,500M-1B,8,280
Computers/Technology,> 10B,12,281
Accounting/Finance,2B-5B,10,282
Medical/Pharmaceutical,100M-500M,7,283
Medical/Pharmaceutical,2B-5B,10,284
Manufacturing/Fabrication,1B-2B,9,285
Computers/Technology,100M-500M,7,286
Medical/Pharmaceutical,10M-25M,4,287
Medical/Pharmaceutical,500M-1B,8,288
Accounting/Finance,> 10B,12,289
Shipping/Transportation,> 10B,12,290
Computers/Technology,10M-25M,4,291
Computers/Technology,100M-500M,7,292
Retail/Sales,1B-2B,9,293
Online Service/Internet-based Services,50M-100M,6,294
Computers/Technology,> 10B,12,295
Manufacturing/Fabrication,2B-5B,10,296
Computers/Technology,50M-100M,6,297
Medical/Pharmaceutical,5B-10B,11,298
Accounting/Finance,5B-10B,11,299
Online Service/Internet-based Services,100M-500M,7,300
Computers/Technology,50M-100M,6,301
Military/Security/Defense,50M-100M,6,302
Computers/Technology,100M-500M,7,303
Medical/Pharmaceutical,100M-500M,7,304
Manufacturing/Fabrication,2B-5B,10,305
Telco,5B-10B,11,306
Computers/Technology,2B-5B,10,307
Computers/Technology,500M-1B,8,308
Computers/Technology,100M-500M,7,309
Insurance/Risk Assessment,2B-5B,10,310
Online Service/Internet-based Services,5M-10M,3,311
Academics/Education,100M-500M,7,312
Computers/Technology,50M-100M,6,313
Accounting/Finance,500M-1B,8,314
Computers/Technology,> 10B,12,315
Computers/Technology,5B-10B,11,316
Online Service/Internet-based Services,5B-10B,11,317
Government/Public Service,2B-5B,10,318
Manufacturing/Fabrication,> 10B,12,319
Medical/Pharmaceutical,2B-5B,10,320
Online Service/Internet-based Services,500M-1B,8,321
Computers/Technology,10M-25M,4,322
Retail/Sales,> 10B,12,323
Computers/Technology,50M-100M,6,324
Medical/Pharmaceutical,2B-5B,10,325
Computers/Technology,100M-500M,7,326
Medical/Pharmaceutical,2B-5B,10,327
Computers/Technology,5B-10B,11,328
Manufacturing/Fabrication,> 10B,12,329
Computers/Technology,10M-25M,4,330
Computers/Technology,> 10B,12,331
Medical/Pharmaceutical,> 10B,12,332
Computers/Technology,100M-500M,7,333
Medical/Pharmaceutical,> 10B,12,334
Medical/Pharmaceutical,100M-500M,7,335
Manufacturing/Fabrication,10M-25M,4,336
Manufacturing/Fabrication,> 10B,12,337
Computers/Technology,100M-500M,7,338
Computers/Technology,100M-500M,7,339
Computers/Technology,10M-25M,4,340
Computers/Technology,100M-500M,7,341
Computers/Technology,10M-25M,4,342
Shipping/Transportation,1B-2B,9,343
Insurance/Risk Assessment,500M-1B,8,344
Online Service/Internet-based Services,2B-5B,10,345
Manufacturing/Fabrication,> 10B,12,346
Manufacturing/Fabrication,5B-10B,11,347
Medical/Pharmaceutical,> 10B,12,348
Computers/Technology,500M-1B,8,349
Shipping/Transportation,10M-25M,4,350
Manufacturing/Fabrication,2M-5M,2,351
Medical/Pharmaceutical,10M-25M,4,352
Manufacturing/Fabrication,> 10B,12,353
Computers/Technology,> 10B,12,354
Accounting/Finance,> 10B,12,355
Computers/Technology,10M-25M,4,356
Computers/Technology,50M-100M,6,357
Manufacturing/Fabrication,> 10B,12,358
Manufacturing/Fabrication,100M-500M,7,359
Computers/Technology,> 10B,12,360
Online Service/Internet-based Services,100M-500M,7,361
Telco,> 10B,12,362
Telco,5B-10B,11,363
Manufacturing/Fabrication,100M-500M,7,364
Computers/Technology,25M-50M,5,365
Accounting/Finance,> 10B,12,366
Computers/Technology,50M-100M,6,367
Accounting/Finance,5B-10B,11,368
Online Service/Internet-based Services,100M-500M,7,369
Academics/Education,1B-2B,9,370
Computers/Technology,10M-25M,4,371
Manufacturing/Fabrication,2B-5B,10,372
Medical/Pharmaceutical,10M-25M,4,373
Medical/Pharmaceutical,> 10B,12,374
Manufacturing/Fabrication,> 10B,12,375
Manufacturing/Fabrication,50M-100M,6,376
Computers/Technology,1M-2M,1,377
Marketing/CRM,100M-500M,7,378
Manufacturing/Fabrication,> 10B,12,379
Accounting/Finance,> 10B,12,380
Computers/Technology,10M-25M,4,381
Non-profit/Service,100M-500M,7,382
Online Service/Internet-based Services,2M-5M,2,383
Telco,2B-5B,10,384
Manufacturing/Fabrication,2B-5B,10,385
Accounting/Finance,5B-10B,11,386
Accounting/Finance,100M-500M,7,387
Computers/Technology,100M-500M,7,388
Computers/Technology,2B-5B,10,389
Manufacturing/Fabrication,> 10B,12,390
Manufacturing/Fabrication,2B-5B,10,391
Retail/Sales,5B-10B,11,392
Medical/Pharmaceutical,50M-100M,6,393
Manufacturing/Fabrication,5B-10B,11,394
Accounting/Finance,5B-10B,11,395
Medical/Pharmaceutical,2B-5B,10,396
Computers/Technology,5M-10M,3,397
Computers/Technology,100M-500M,7,398
Retail/Sales,2B-5B,10,399
Medical/Pharmaceutical,5B-10B,11,400
Computers/Technology,100M-500M,7,401
Manufacturing/Fabrication,2B-5B,10,402
Online Service/Internet-based Services,10M-25M,4,403
Accounting/Finance,5B-10B,11,404
Computers/Technology,10M-25M,4,405
Online Service/Internet-based Services,1B-2B,9,406
Online Service/Internet-based Services,10M-25M,4,407
Computers/Technology,2B-5B,10,408
Accounting/Finance,2M-5M,2,409
Medical/Pharmaceutical,500M-1B,8,410
Military/Security/Defense,2M-5M,2,411
Marketing/CRM,100M-500M,7,412
Online Service/Internet-based Services,> 10B,12,413
Online Service/Internet-based Services,10M-25M,4,414
Manufacturing/Fabrication,> 10B,12,415
Accounting/Finance,2B-5B,10,416
Computers/Technology,> 10B,12,417
Broadcasting/Communications,> 10B,12,418
Computers/Technology,100M-500M,7,419
Online Service/Internet-based Services,10M-25M,4,420
Manufacturing/Fabrication,5B-10B,11,421
Energy/Mining,> 10B,12,422
Online Service/Internet-based Services,2M-5M,2,423
Online Service/Internet-based Services,10M-25M,4,424
Insurance/Risk Assessment,> 10B,12,425
Accounting/Finance,> 10B,12,426
Manufacturing/Fabrication,> 10B,12,427
Telco,10M-25M,4,428
Accounting/Finance,10M-25M,4,429
Online Service/Internet-based Services,2M-5M,2,430
Academics/Education,100M-500M,7,431
Manufacturing/Fabrication,> 10B,12,432
Computers/Technology,> 10B,12,433
Computers/Technology,> 10B,12,434
Telco,> 10B,12,435
Computers/Technology,> 10B,12,436
Manufacturing/Fabrication,> 10B,12,437
Retail/Sales,> 10B,12,438
Academics/Education,500M-1B,8,439
Telco,> 10B,12,440
Production,100M-500M,7,441
Academics/Education,500M-1B,8,442
Manufacturing/Fabrication,5B-10B,11,443
Medical/Pharmaceutical,> 10B,12,444
Online Service/Internet-based Services,100M-500M,7,445
Computers/Technology,100M-500M,7,446
Military/Security/Defense,> 10B,12,447
Accounting/Finance,> 10B,12,448
Accounting/Finance,100M-500M,7,449
Insurance/Risk Assessment,1B-2B,9,450
Broadcasting/Communications,5B-10B,11,451
Computers/Technology,2B-5B,10,452
Broadcasting/Communications,2M-5M,2,453
Medical/Pharmaceutical,> 10B,12,454
Online Service/Internet-based Services,100M-500M,7,455
Real Estate,1B-2B,9,456
Accounting/Finance,> 10B,12,457
Computers/Technology,10M-25M,4,458
Manufacturing/Fabrication,1B-2B,9,459
Broadcasting/Communications,10M-25M,4,460
Retail/Sales,2M-5M,2,461
Military/Security/Defense,2B-5B,10,462
Computers/Technology,> 10B,12,463
Manufacturing/Fabrication,5M-10M,3,464
Computers/Technology,100M-500M,7,465
Computers/Technology,25M-50M,5,466
Insurance/Risk Assessment,100M-500M,7,467
Manufacturing/Fabrication,> 10B,12,468
Retail/Sales,1B-2B,9,469
Computers/Technology,> 10B,12,470
Online Service/Internet-based Services,100M-500M,7,471
Agriculture,50M-100M,6,472
Online Service/Internet-based Services,> 10B,12,473
Computers/Technology,10M-25M,4,474
Marketing/CRM,50M-100M,6,475
Energy/Mining,2M-5M,2,476
Manufacturing/Fabrication,5M-10M,3,477
Computers/Technology,25M-50M,5,478
Computers/Technology,2B-5B,10,479
Online Service/Internet-based Services,25M-50M,5,480
Shipping/Transportation,10M-25M,4,481
Online Service/Internet-based Services,> 10B,12,482
Computers/Technology,> 10B,12,483
Computers/Technology,100M-500M,7,484
Medical/Pharmaceutical,10M-25M,4,485
Computers/Technology,1B-2B,9,486
Computers/Technology,100M-500M,7,487
Medical/Pharmaceutical,2B-5B,10,488
Computers/Technology,> 10B,12,489
Hospitality/Entertainment/Sports,2B-5B,10,490
Computers/Technology,> 10B,12,491
Accounting/Finance,1B-2B,9,492
Computers/Technology,> 10B,12,493
Online Service/Internet-based Services,> 10B,12,494
Medical/Pharmaceutical,10M-25M,4,495
Shipping/Transportation,1M-2M,1,496
Computers/Technology,1M-2M,1,497
Academics/Education,500M-1B,8,498
Computers/Technology,100M-500M,7,499
Computers/Technology,2B-5B,10,500
Computers/Technology,2B-5B,10,501
Accounting/Finance,> 10B,12,502
Manufacturing/Fabrication,500M-1B,8,503
Computers/Technology,500M-1B,8,504
Broadcasting/Communications,500M-1B,8,505
Computers/Technology,> 10B,12,506
Online Service/Internet-based Services,10M-25M,4,507
Online Service/Internet-based Services,> 10B,12,508
Shipping/Transportation,> 10B,12,509
Medical/Pharmaceutical,> 10B,12,510
Computers/Technology,2B-5B,10,511
Manufacturing/Fabrication,10M-25M,4,512
Computers/Technology,5M-10M,3,513
Medical/Pharmaceutical,10M-25M,4,514
Accounting/Finance,2B-5B,10,515
Manufacturing/Fabrication,100M-500M,7,516
Computers/Technology,> 10B,12,517
Computers/Technology,2B-5B,10,518
Online Service/Internet-based Services,> 10B,12,519
Computers/Technology,2B-5B,10,520
Accounting/Finance,10M-25M,4,521
Accounting/Finance,> 10B,12,522
Computers/Technology,2B-5B,10,523
Manufacturing/Fabrication,100M-500M,7,524
Manufacturing/Fabrication,5B-10B,11,525
Computers/Technology,100M-500M,7,526
Accounting/Finance,> 10B,12,527
Accounting/Finance,> 10B,12,528
Manufacturing/Fabrication,1B-2B,9,529
Accounting/Finance,> 10B,12,530
Telco,5B-10B,11,531
Accounting/Finance,5B-10B,11,532
Online Service/Internet-based Services,100M-500M,7,533
Online Service/Internet-based Services,50M-100M,6,534
Manufacturing/Fabrication,10M-25M,4,535
Computers/Technology,10M-25M,4,536
Computers/Technology,2M-5M,2,537
Computers/Technology,5M-10M,3,538
Retail/Sales,5B-10B,11,539
Accounting/Finance,> 10B,12,540
Accounting/Finance,2B-5B,10,541
Online Service/Internet-based Services,5B-10B,11,542
Online Service/Internet-based Services,5B-10B,11,543
Computers/Technology,100M-500M,7,544
Shipping/Transportation,2B-5B,10,545
Computers/Technology,10M-25M,4,546
Medical/Pharmaceutical,> 10B,12,547
Insurance/Risk Assessment,> 10B,12,548
Accounting/Finance,5B-10B,11,549
Medical/Pharmaceutical,10M-25M,4,550
Accounting/Finance,2B-5B,10,551
Computers/Technology,100M-500M,7,552
Food,2B-5B,10,553
Computers/Technology,> 10B,12,554
Computers/Technology,2B-5B,10,555
Manufacturing/Fabrication,> 10B,12,556
Accounting/Finance,5B-10B,11,557
Computers/Technology,100M-500M,7,558
Online Service/Internet-based Services,50M-100M,6,559
Real Estate,10M-25M,4,560
Computers/Technology,> 10B,12,561
Medical/Pharmaceutical,> 10B,12,562
Insurance/Risk Assessment,> 10B,12,563
Computers/Technology,2B-5B,10,564
Broadcasting/Communications,2B-5B,10,565
Academics/Education,500M-1B,8,566
Manufacturing/Fabrication,> 10B,12,567
Medical/Pharmaceutical,50M-100M,6,568
Computers/Technology,50M-100M,6,569
Online Service/Internet-based Services,500M-1B,8,570
Online Service/Internet-based Services,10M-25M,4,571
Medical/Pharmaceutical,10M-25M,4,572
Accounting/Finance,2B-5B,10,573
Medical/Pharmaceutical,> 10B,12,574
Medical/Pharmaceutical,> 10B,12,575
Computers/Technology,> 10B,12,576
Medical/Pharmaceutical,500M-1B,8,577
Computers/Technology,> 10B,12,578
Medical/Pharmaceutical,1B-2B,9,579
Manufacturing/Fabrication,100M-500M,7,580
Manufacturing/Fabrication,5B-10B,11,581
Accounting/Finance,50M-100M,6,582
Broadcasting/Communications,100M-500M,7,583
Telco,> 10B,12,584
Telco,100M-500M,7,585
Accounting/Finance,> 10B,12,586
Computers/Technology,2M-5M,2,587
Computers/Technology,> 10B,12,588
Computers/Technology,500M-1B,8,589
Online Service/Internet-based Services,1B-2B,9,590
Online Service/Internet-based Services,> 10B,12,591
Accounting/Finance,500M-1B,8,592
Computers/Technology,50M-100M,6,593
Manufacturing/Fabrication,500M-1B,8,594
Online Service/Internet-based Services,1B-2B,9,595
Computers/Technology,100M-500M,7,596
Accounting/Finance,10M-25M,4,597
Computers/Technology,100M-500M,7,598
Computers/Technology,100M-500M,7,599
Accounting/Finance,100M-500M,7,600
Manufacturing/Fabrication,100M-500M,7,601
Computers/Technology,50M-100M,6,602
Online Service/Internet-based Services,100M-500M,7,603
Retail/Sales,2B-5B,10,604
Online Service/Internet-based Services,> 10B,12,605
Medical/Pharmaceutical,> 10B,12,606
Accounting/Finance,2B-5B,10,607
Computers/Technology,50M-100M,6,608
Online Service/Internet-based Services,10M-25M,4,609
Computers/Technology,5M-10M,3,610
Online Service/Internet-based Services,2B-5B,10,611
Online Service/Internet-based Services,> 10B,12,612
Computers/Technology,2M-5M,2,613
Manufacturing/Fabrication,500M-1B,8,614
Medical/Pharmaceutical,> 10B,12,615
Computers/Technology,500M-1B,8,616
Online Service/Internet-based Services,1B-2B,9,617
Medical/Pharmaceutical,> 10B,12,618
Medical/Pharmaceutical,1B-2B,9,619
Manufacturing/Fabrication,1B-2B,9,620
Manufacturing/Fabrication,25M-50M,5,621
Computers/Technology,> 10B,12,622
Government/Public Service,5M-10M,3,623
Computers/Technology,2M-5M,2,624
Computers/Technology,5M-10M,3,625
Computers/Technology,10M-25M,4,626
Retail/Sales,> 10B,12,627
Manufacturing/Fabrication,100M-500M,7,628
Retail/Sales,100M-500M,7,629
Medical/Pharmaceutical,> 10B,12,630
Medical/Pharmaceutical,2B-5B,10,631
Online Service/Internet-based Services,50M-100M,6,632
Insurance/Risk Assessment,25M-50M,5,633
Computers/Technology,50M-100M,6,634
Medical/Pharmaceutical,> 10B,12,635
Computers/Technology,10M-25M,4,636
Online Service/Internet-based Services,2M-5M,2,637
Medical/Pharmaceutical,2B-5B,10,638
Accounting/Finance,2B-5B,10,639
Computers/Technology,500M-1B,8,640
Shipping/Transportation,2B-5B,10,641
Computers/Technology,100M-500M,7,642
Military/Security/Defense,> 10B,12,643
Retail/Sales,2M-5M,2,644
Computers/Technology,> 10B,12,645
Computers/Technology,100M-500M,7,646
Energy/Mining,2B-5B,10,647
Computers/Technology,> 10B,12,648
Broadcasting/Communications,> 10B,12,649
Medical/Pharmaceutical,> 10B,12,650
Accounting/Finance,> 10B,12,651
Online Service/Internet-based Services,25M-50M,5,652
Computers/Technology,50M-100M,6,653
Retail/Sales,1B-2B,9,654
Broadcasting/Communications,5B-10B,11,655
Medical/Pharmaceutical,> 10B,12,656
Manufacturing/Fabrication,> 10B,12,657
Online Service/Internet-based Services,5B-10B,11,658
Broadcasting/Communications,> 10B,12,659
Computers/Technology,2B-5B,10,660
Computers/Technology,> 10B,12,661
Computers/Technology,100M-500M,7,662
Academics/Education,2B-5B,10,663
Manufacturing/Fabrication,> 10B,12,664
Computers/Technology,2M-5M,2,665
Manufacturing/Fabrication,10M-25M,4,666
Retail/Sales,2B-5B,10,667
Military/Security/Defense,> 10B,12,668
Online Service/Internet-based Services,1B-2B,9,669
Computers/Technology,50M-100M,6,670
Manufacturing/Fabrication,1B-2B,9,671
Manufacturing/Fabrication,5M-10M,3,672
Insurance/Risk Assessment,> 10B,12,673
Energy/Mining,2B-5B,10,674
Online Service/Internet-based Services,100M-500M,7,675
Manufacturing/Fabrication,> 10B,12,676
Online Service/Internet-based Services,10M-25M,4,677
Computers/Technology,5B-10B,11,678
Computers/Technology,100M-500M,7,679
Computers/Technology,> 10B,12,680
Military/Security/Defense,1B-2B,9,681
Academics/Education,500M-1B,8,682
Academics/Education,500M-1B,8,683
Computers/Technology,> 10B,12,684
Online Service/Internet-based Services,10M-25M,4,685
Manufacturing/Fabrication,100M-500M,7,686
Accounting/Finance,5B-10B,11,687
Medical/Pharmaceutical,2M-5M,2,688
Online Service/Internet-based Services,100M-500M,7,689
Real Estate,100M-500M,7,690
Computers/Technology,100M-500M,7,691
Computers/Technology,100M-500M,7,692
Telco,> 10B,12,693
Computers/Technology,10M-25M,4,694
Accounting/Finance,5B-10B,11,695
Computers/Technology,2B-5B,10,696
Non-profit/Service,500M-1B,8,697
Accounting/Finance,> 10B,12,698
Medical/Pharmaceutical,> 10B,12,699
Computers/Technology,10M-25M,4,700
Medical/Pharmaceutical,5B-10B,11,701
Accounting/Finance,> 10B,12,702
